epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8362169861793518,0.5173634886741638,0.001,0.9375155568122864,0.18796929717063904
1,0.8987950086593628,0.2994743287563324,0.001,0.9414933323860168,0.17089378833770752
2,0.9093363881111145,0.2660416066646576,0.001,0.9447252750396729,0.16178809106349945
3,0.9142904877662659,0.25359290838241577,0.001,0.9478743672370911,0.1483796238899231
4,0.9192073345184326,0.23789452016353607,0.001,0.9501118659973145,0.14476920664310455
5,0.923956573009491,0.22837689518928528,0.001,0.9492002725601196,0.13842296600341797
6,0.925278902053833,0.22225169837474823,0.001,0.9518521428108215,0.1348268836736679
7,0.9277745485305786,0.2202364206314087,0.001,0.953758180141449,0.13203388452529907
8,0.927327573299408,0.21585418283939362,0.001,0.9561614394187927,0.12342632561922073
8,0.9326727986335754,0.20068423449993134,0.001,0.9558299779891968,0.12349298596382141
9,0.9341068863868713,0.19490498304367065,0.001,0.960222065448761,0.1148638054728508
10,0.9362486600875854,0.1946902573108673,0.001,0.9550012350082397,0.12926405668258667
11,0.9361555576324463,0.19078747928142548,0.001,0.9599734544754028,0.11242624372243881
12,0.93678879737854,0.19027389585971832,0.001,0.9606364369392395,0.11300653964281082
13,0.9385766983032227,0.1854630410671234,0.001,0.9617137908935547,0.10599464178085327
14,0.9396755695343018,0.18193277716636658,0.001,0.9623767137527466,0.10492338240146637
